Game Date,Game ID,Game Time,Arena,Arena City,Home Team Abbreviation,Home Conference,Home Division,Visiting Team Abbreviation,Visiting Conference,Visiting Division,Divisional Game,Conference Game,Home Team ID,Visiting Team ID
2024-10-30,22400118,7:00 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,LAL,West,Pacific,No,No,1610612739,1610612747
2024-10-31,22400128,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,MIL,East,Central,No,No,1610612763,1610612749
2024-10-31,22400129,8:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,HOU,West,Southwest,Yes,Yes,1610612742,1610612745
2024-10-31,22400130,9:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,SAS,West,Southwest,No,Yes,1610612762,1610612759
2024-10-31,22400131,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,PHX,West,Pacific,Yes,Yes,1610612746,1610612756
2024-11-01,22400140,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,OKC,West,Northwest,Yes,Yes,1610612757,1610612760
2024-11-01,22400139,9:30 pm ET,Target Center,Minneapolis,MIN,West,Northwest,DEN,West,Northwest,Yes,Yes,1610612750,1610612743
2024-11-01,22400138,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,IND,East,Central,No,No,1610612740,1610612754
2024-11-01,22400134,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,NYK,East,Atlantic,No,Yes,1610612765,1610612752
2024-11-01,22400136,7:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,CHI,East,Central,No,Yes,1610612751,1610612741
2024-11-01,22400135,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,SAC,West,Pacific,No,No,1610612737,1610612758
2024-11-01,22400133,7:00 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,ORL,East,Southeast,No,Yes,1610612739,1610612753
2024-11-01,22400132,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,BOS,East,Atlantic,No,Yes,1610612766,1610612738
2024-11-01,22400137,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,LAL,West,Pacific,No,No,1610612761,1610612747
2024-11-02,22400148,10:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,UTA,West,Northwest,Yes,Yes,1610612743,1610612762
2024-11-02,22400150,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,OKC,West,Northwest,No,Yes,1610612746,1610612760
2024-11-02,22400146,8:00 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,MIN,West,Northwest,No,Yes,1610612759,1610612750
2024-11-02,22400149,10:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,POR,West,Northwest,No,Yes,1610612756,1610612757
2024-11-02,22400147,9:30 pm ET,Arena CDMX,Mexico City,WAS,East,Southeast,MIA,East,Southeast,Yes,Yes,1610612764,1610612748
2024-11-02,22400144,8:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,GSW,West,Pacific,No,Yes,1610612745,1610612744
2024-11-02,22400143,7:30 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,SAC,West,Pacific,No,No,1610612761,1610612758
2024-11-02,22400142,7:30 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,MEM,West,Southwest,No,No,1610612755,1610612763
2024-11-02,22400141,6:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,BOS,East,Atlantic,No,Yes,1610612766,1610612738
2024-11-02,22400145,8:00 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,CLE,East,Central,Yes,Yes,1610612749,1610612739
2024-11-03,22400151,3:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,DET,East,Central,No,Yes,1610612751,1610612765
2024-11-03,22400152,7:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,ATL,East,Southeast,No,No,1610612740,1610612737
2024-11-03,22400153,7:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,ORL,East,Southeast,No,No,1610612742,1610612753
2024-11-04,22400168,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,SAS,West,Southwest,No,Yes,1610612746,1610612759
2024-11-04,22400167,10:15 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,PHI,East,Atlantic,No,No,1610612756,1610612755
2024-11-04,22400166,10:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,TOR,East,Atlantic,No,No,1610612743,1610612761
2024-11-04,22400165,9:45 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,IND,East,Central,No,No,1610612742,1610612754
2024-11-04,22400164,9:30 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,POR,West,Northwest,No,Yes,1610612740,1610612757
2024-11-04,22400163,9:15 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,ORL,East,Southeast,No,No,1610612760,1610612753
2024-11-04,22400159,8:15 pm ET,Kaseya Center,Miami,MIA,East,Southeast,SAC,West,Pacific,No,No,1610612748,1610612758
2024-11-04,22400161,8:45 pm ET,Toyota Center,Houston,HOU,West,Southwest,NYK,East,Atlantic,No,No,1610612745,1610612752
2024-11-04,22400160,8:30 pm ET,United Center,Chicago,CHI,East,Central,UTA,West,Northwest,No,No,1610612741,1610612762
2024-11-04,22400158,8:00 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,MEM,West,Southwest,No,No,1610612751,1610612763
2024-11-04,22400157,7:45 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,BOS,East,Atlantic,No,Yes,1610612737,1610612738
2024-11-04,22400156,7:30 pm ET,Little Caesars Arena,Detroit,DET,East,Central,LAL,West,Pacific,No,No,1610612765,1610612747
2024-11-04,22400155,7:15 pm ET,Capital One Arena,Washington,WAS,East,Southeast,GSW,West,Pacific,No,No,1610612764,1610612744
2024-11-04,22400154,7:00 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,MIL,East,Central,Yes,Yes,1610612739,1610612749
2024-11-04,22400162,9:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,CHA,East,Southeast,No,No,1610612750,1610612766
2024-11-06,22400178,9:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,MIA,East,Southeast,No,No,1610612756,1610612748
2024-11-06,22400177,9:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,OKC,West,Northwest,Yes,Yes,1610612743,1610612760
2024-11-06,22400180,10:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,TOR,East,Atlantic,No,No,1610612758,1610612761
2024-11-06,22400176,8:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,CHI,East,Central,No,No,1610612742,1610612741
2024-11-06,22400179,10:00 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,PHI,East,Atlantic,No,No,1610612746,1610612755
2024-11-06,22400174,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,LAL,West,Pacific,No,Yes,1610612763,1610612747
2024-11-06,22400169,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,DET,East,Central,No,Yes,1610612766,1610612765
2024-11-06,22400170,7:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,ORL,East,Southeast,No,Yes,1610612754,1610612753
2024-11-06,22400175,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,CLE,East,Central,No,No,1610612740,1610612739
2024-11-06,22400172,7:30 pm ET,TD Garden,Boston,BOS,East,Atlantic,GSW,West,Pacific,No,No,1610612738,1610612744
2024-11-06,22400173,8:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,SAS,West,Southwest,Yes,Yes,1610612745,1610612759
2024-11-06,22400171,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,NYK,East,Atlantic,No,Yes,1610612737,1610612752
2024-11-07,22400181,8:00 pm ET,United Center,Chicago,CHI,East,Central,MIN,West,Northwest,No,No,1610612741,1610612750
2024-11-07,22400182,8:00 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,UTA,West,Northwest,No,No,1610612749,1610612762
2024-11-07,22400183,8:00 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,POR,West,Northwest,No,Yes,1610612759,1610612757
2024-11-08,22400196,10:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,LAC,West,Pacific,Yes,Yes,1610612758,1610612746
2024-11-08,22400195,10:00 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,PHI,East,Atlantic,No,No,1610612747,1610612755
2024-11-08,22400194,9:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,MIA,East,Southeast,No,No,1610612743,1610612748
2024-11-08,22400192,8:00 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,HOU,West,Southwest,No,Yes,1610612760,1610612745
2024-11-08,22400191,8:00 pm ET,FedExForum,Memphis,MEM,West,Southwest,WAS,East,Southeast,No,No,1610612763,1610612764
2024-11-08,22400193,9:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,POR,West,Northwest,Yes,Yes,1610612750,1610612757
2024-11-08,22400189,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,MIL,East,Central,No,Yes,1610612752,1610612749
2024-11-08,22400188,7:30 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,GSW,West,Pacific,No,No,1610612739,1610612744
2024-11-08,22400187,7:30 pm ET,TD Garden,Boston,BOS,East,Atlantic,BKN,East,Atlantic,Yes,Yes,1610612738,1610612751
2024-11-08,22400186,7:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,NOP,West,Southwest,No,No,1610612753,1610612740
2024-11-08,22400185,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,ATL,East,Southeast,No,Yes,1610612765,1610612737
2024-11-08,22400184,7:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,IND,East,Central,No,Yes,1610612766,1610612754
2024-11-08,22400190,7:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,PHX,West,Pacific,No,Yes,1610612742,1610612756
2024-11-09,22400197,5:00 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,UTA,West,Northwest,No,Yes,1610612759,1610612762
2024-11-09,22400198,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,CHI,East,Central,No,Yes,1610612737,1610612741
2024-11-09,22400199,7:30 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,BKN,East,Atlantic,No,Yes,1610612739,1610612751
2024-11-09,22400200,10:30 pm ET,Intuit Dome,Inglewood,LAC,West,Pacific,TOR,East,Atlantic,No,No,1610612746,1610612761
2024-11-10,22400209,8:00 pm ET,Footprint Center,Phoenix,PHX,West,Pacific,SAC,West,Pacific,Yes,Yes,1610612756,1610612758
2024-11-10,22400211,9:30 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,TOR,East,Atlantic,No,No,1610612747,1610612761
2024-11-10,22400210,9:00 pm ET,Moda Center,Portland,POR,West,Northwest,MEM,West,Southwest,No,Yes,1610612757,1610612763
2024-11-10,22400208,8:00 pm ET,Ball Arena,Denver,DEN,West,Northwest,DAL,West,Southwest,No,Yes,1610612743,1610612742
2024-11-10,22400204,6:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,WAS,East,Southeast,Yes,Yes,1610612753,1610612764
2024-11-10,22400206,7:00 pm ET,Target Center,Minneapolis,MIN,West,Northwest,MIA,East,Southeast,No,No,1610612750,1610612748
2024-11-10,22400205,7:00 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,CHA,East,Southeast,No,Yes,1610612755,1610612766
2024-11-10,22400201,3:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,HOU,West,Southwest,No,No,1610612765,1610612745
2024-11-10,22400203,5:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,NYK,East,Atlantic,No,Yes,1610612754,1610612752
2024-11-10,22400202,3:30 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,BOS,East,Atlantic,No,Yes,1610612749,1610612738
2024-11-10,22400207,7:00 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,GSW,West,Pacific,No,Yes,1610612760,1610612744
2024-11-11,22400212,8:00 pm ET,United Center,Chicago,CHI,East,Central,CLE,East,Central,Yes,Yes,1610612741,1610612739
2024-11-11,22400213,8:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,WAS,East,Southeast,No,No,1610612745,1610612764
2024-11-11,22400214,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,BKN,East,Atlantic,No,No,1610612740,1610612751
2024-11-11,22400215,8:00 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,LAC,West,Pacific,No,Yes,1610612760,1610612746
2024-11-11,22400216,8:00 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,SAC,West,Pacific,No,Yes,1610612759,1610612758
2024-11-12,22400008,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,MIN,West,Northwest,Yes,Yes,1610612757,1610612750
2024-11-12,22400007,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,DAL,West,Southwest,No,Yes,1610612744,1610612742
2024-11-12,22400006,9:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,PHX,West,Pacific,No,Yes,1610612762,1610612756
2024-11-12,22400002,7:00 pm ET,Little Caesars Arena,Detroit,DET,East,Central,MIA,East,Southeast,No,Yes,1610612765,1610612748
2024-11-12,22400004,7:30 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,NYK,East,Atlantic,Yes,Yes,1610612755,1610612752
2024-11-12,22400003,7:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,CHA,East,Southeast,Yes,Yes,1610612753,1610612766
2024-11-12,22400001,7:00 pm ET,TD Garden,Boston,BOS,East,Atlantic,ATL,East,Southeast,No,Yes,1610612738,1610612737
2024-11-12,22400005,8:00 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,TOR,East,Atlantic,No,Yes,1610612749,1610612761
2024-11-13,22400227,10:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,PHX,West,Pacific,Yes,Yes,1610612758,1610612756
2024-11-13,22400225,10:00 pm ET,Crypto.com Arena,Los Angeles,LAL,West,Pacific,MEM,West,Southwest,No,Yes,1610612747,1610612763
2024-11-13,22400223,8:00 pm ET,Fiserv Forum,Milwaukee,MIL,East,Central,DET,East,Central,Yes,Yes,1610612749,1610612765
2024-11-13,22400226,10:00 pm ET,Moda Center,Portland,POR,West,Northwest,MIN,West,Northwest,Yes,Yes,1610612757,1610612750
2024-11-13,22400221,7:30 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,NOP,West,Southwest,No,Yes,1610612760,1610612740
2024-11-13,22400217,7:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,IND,East,Central,No,Yes,1610612753,1610612754
2024-11-13,22400222,8:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,LAC,West,Pacific,No,Yes,1610612745,1610612746
2024-11-13,22400218,7:30 pm ET,Barclays Center,Brooklyn,BKN,East,Atlantic,BOS,East,Atlantic,Yes,Yes,1610612751,1610612738
2024-11-13,22400224,8:00 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,WAS,East,Southeast,No,No,1610612759,1610612764
2024-11-13,22400220,7:30 pm ET,Wells Fargo Center,Philadelphia,PHI,East,Atlantic,CLE,East,Central,No,Yes,1610612755,1610612739
2024-11-13,22400219,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,CHI,East,Central,No,Yes,1610612752,1610612741
2024-11-14,22400228,9:00 pm ET,Delta Center,Salt Lake City,UTA,West,Northwest,DAL,West,Southwest,No,Yes,1610612762,1610612742
2024-11-15,22400011,7:00 pm ET,Scotiabank Arena,Toronto,TOR,East,Atlantic,DET,East,Central,No,Yes,1610612761,1610612765
2024-11-15,22400009,7:00 pm ET,Gainbridge Fieldhouse,Indianapolis,IND,East,Central,MIA,East,Southeast,No,Yes,1610612754,1610612748
2024-11-15,22400010,7:00 pm ET,Kia Center,Orlando,ORL,East,Southeast,PHI,East,Atlantic,No,Yes,1610612753,1610612755
2024-11-15,22400018,8:00 pm ET,Paycom Center,Oklahoma City,OKC,West,Northwest,PHX,West,Pacific,No,Yes,1610612760,1610612756
2024-11-15,22400017,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,DEN,West,Northwest,No,Yes,1610612740,1610612743
2024-11-15,22400020,10:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,MIN,West,Northwest,No,Yes,1610612758,1610612750
2024-11-15,22400015,7:30 pm ET,Frost Bank Center,San Antonio,SAS,West,Southwest,LAL,West,Pacific,No,Yes,1610612759,1610612747
2024-11-15,22400014,7:30 pm ET,Madison Square Garden,New York,NYK,East,Atlantic,BKN,East,Atlantic,Yes,Yes,1610612752,1610612751
2024-11-15,22400013,7:30 pm ET,Rocket Mortgage FieldHouse,Cleveland,CLE,East,Central,CHI,East,Central,Yes,Yes,1610612739,1610612741
2024-11-15,22400012,7:30 pm ET,State Farm Arena,Atlanta,ATL,East,Southeast,WAS,East,Southeast,Yes,Yes,1610612737,1610612764
2024-11-15,22400016,8:00 pm ET,Toyota Center,Houston,HOU,West,Southwest,LAC,West,Pacific,No,Yes,1610612745,1610612746
2024-11-15,22400019,10:00 pm ET,Chase Center,San Francisco,GSW,West,Pacific,MEM,West,Southwest,No,Yes,1610612744,1610612763
2024-11-16,22400229,3:00 pm ET,Spectrum Center,Charlotte,CHA,East,Southeast,MIL,East,Central,No,Yes,1610612766,1610612749
2024-11-16,22400230,8:00 pm ET,TD Garden,Boston,BOS,East,Atlantic,TOR,East,Atlantic,Yes,Yes,1610612738,1610612761
2024-11-16,22400231,8:00 pm ET,Smoothie King Center,New Orleans,NOP,West,Southwest,LAL,West,Pacific,No,Yes,1610612740,1610612747
2024-11-16,22400232,8:30 pm ET,American Airlines Center,Dallas,DAL,West,Southwest,SAS,West,Southwest,Yes,Yes,1610612742,1610612759
2024-11-16,22400233,10:00 pm ET,Golden 1 Center,Sacramento,SAC,West,Pacific,UTA,West,Northwest,No,Yes,1610612758,1610612762
